diameter,sigmaColor,sigmaSpace,average_cost,best_cost
2.0194257601533017,29.21614776702237,21.6972464970395,-0.8587720120043103,-0.9383425450812072
3.8529493149495684,41.600766841130536,40.863189388972245,-0.8930145555303713,-0.9383425450812072
5.987858148971908,54.031523324966656,64.62419206314814,-0.917332780956944,-0.9388631757280964
8.330822371171719,67.1898765740352,87.00344578046169,-0.9275141255917988,-0.9388631757280964
10.343797155849552,78.07903936082549,2.194515975886489,-0.9280301910126557,-0.9390898786434164
11.822328832669065,87.84259932122383,16.260745319505496,-0.9215907633298341,-0.9390898786434164
12.630054811168696,90.38233813917759,22.44864604270708,-0.9178734900716727,-0.9390898786434164
11.967025316950574,87.2903347076981,23.036305885436075,-0.9182140012184606,-0.9394957484695632
10.081595490109965,79.64696754077758,16.794278381926414,-0.9241493863906405,-0.9394957484695632
8.379955121561098,69.64780991470263,4.945499965778266,-0.9215707707046752,-0.9394957484695632
6.961650719861222,63.131499447994415,93.66853675903813,-0.9207128362160887,-0.9394957484695632
