kernel_size,average_cost,best_cost
1.1253769452481999,-38.65940396965073,-41.53503679877271
2.0049605063297964,-38.80809256434065,-41.53503679877271
2.861135959297035,-39.266073319629825,-41.53503679877271
3.2720323035367866,-40.23874616027188,-41.53503679877271
