kernel_size,sigma,average_cost,best_cost
12.15653128181505,5.760681873530493,-0.715249873642072,-0.8444066608202491
12.54104513548966,6.107069104488471,-0.7749755213739506,-0.8444066608202491
12.400564309763785,6.218760826179723,-0.8131291000669678,-0.8444066608202491
11.976692445831684,5.77001145977281,-0.8267085233224134,-0.8507968592642363
11.877860009116954,5.013949495745836,-0.8104005413938851,-0.8517134642526938
12.42382210353344,4.023996169943133,-0.7794519721252499,-0.8517134642526938
13.41735485051149,2.8369453617533367,-0.7908929689590942,-0.8520670958458183
14.332493821985556,1.7401083147141703,-0.8121556991721888,-0.8528737892574745
14.782020651708812,1.5603821200986439,-0.8229991529875531,-0.8529767361741976
15.126557664944466,2.071638483873728,-0.8028965234215257,-0.8529767361741976
15.31225898983812,2.7619254920425336,-0.8127878559975997,-0.8529767361741976
15.451329299184078,3.3742969781826835,-0.8196319569833102,-0.8529767361741976
