diameter,sigmaColor,sigmaSpace,average_cost,best_cost
7.657157997815329,98.76262340308769,38.53553211245946,-30.193367506941062,-30.820028280526437
8.349805232705215,95.40800987784046,34.533897086874994,-30.35099913461715,-30.847315962015784
8.973187744106113,92.38885770511794,30.932425563848977,-30.59710125333806,-30.847399937249715
9.53423200436692,89.67162074966768,27.69110119312556,-30.774772515802407,-30.847399937249715
9.882646051677451,88.44806996980591,26.89345486344917,-30.42720037327432,-30.848876585526803
10.233164988205004,89.54690264357461,25.801655219388376,-30.028670250434306,-30.848876585526803
10.114281550945801,90.72152362168691,21.33570995217788,-30.192392497873232,-30.87764266069486
9.616858090229403,93.01421472996937,15.606452506249532,-30.20842410799339,-30.87764266069486
9.235880704591407,95.47983790510983,8.849862814672253,-30.1262549467654,-30.87764266069486
8.905136563384493,97.81368445492457,1.9853938577719497,-30.225117948136727,-30.87764266069486
